Condition,Metric,N,Mean,Std,Median,CI_95,Min,Max
C1,TF-IDF Cosine,270,0.14669449260129147,0.10855388466497158,0.142436022507948,0.013006784217925399,0.0,0.649891351552302
C1,BLEU,270,0.018994542863445724,0.02253253552186989,0.011370522921048478,0.0026998188809199855,0.0,0.13134549472120793
C1,ROUGE-L,270,0.1771003237949771,0.11056355515260137,0.17647058823529413,0.013247580302399089,0.0,0.5454545454545454
C2,TF-IDF Cosine,270,0.13817675814846928,0.08840264424260114,0.13143525664223188,0.010592288995518272,0.0,0.5381385939035185
C2,BLEU,270,0.01909286628390267,0.018956908179763466,0.01242288593288913,0.0022713918980807476,0.0,0.10445522730720382
C2,ROUGE-L,270,0.18389045719183988,0.10804238349998661,0.1714285714285714,0.01294549681857797,0.0,0.6666666666666667
C3,TF-IDF Cosine,270,0.14426899626467043,0.09460486063082922,0.1327120317209201,0.011335430436135866,0.0,0.6052855104516397
C3,BLEU,270,0.01924610311890365,0.01922788177422701,0.013157244680497428,0.0023038595991014947,0.0,0.11731175160264001
C3,ROUGE-L,270,0.19024706144660497,0.10385799970772189,0.1875,0.012444129435559444,0.0,0.7368421052631579
C4,TF-IDF Cosine,270,0.2066823525300388,0.15148360116249027,0.18757442589678466,0.018150566596080275,0.0,0.7799154245579976
C4,BLEU,270,0.026649701061396698,0.03820241188068575,0.013620809365327623,0.004577362933348133,0.0,0.17286039232097053
C4,ROUGE-L,270,0.24955202725715495,0.1672837008452528,0.24561403508771928,0.02004371383654672,0.0,0.875
C5,TF-IDF Cosine,270,0.14904593775874714,0.18855662926552397,0.0,0.022592608245068275,0.0,0.6764792400877006
C5,BLEU,270,0.02070515314219944,0.03617515125770123,0.0,0.004334459221905319,0.0,0.14593713362172633
C5,ROUGE-L,270,0.1786060440725889,0.22119382570421403,0.0,0.026503154356487767,0.0,0.7692307692307693
